feature_id	feature_name	feature_type	genesymbol_from_map	genesymbol_source	last_seen_name	last_seen_reference	target_class	human_gene_symbol	external_target_name	validation_assay	validation_feature	mapping_method	mapping_confidence	mapping_evidence	needs_llm_review	needs_manual_review
mAOC0556	mAOC-CD197	Antibody Capture	CCR7	reference:对应基因名	mAOC-CD197	抗体信息对照表260611-FY.xlsx	gene	CCR7		RNA	CCR7	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0561	mAOC-CD32b	Antibody Capture	FCGR2B	reference:对应基因名	mAOC-CD32b	抗体信息对照表260611-FY.xlsx	gene	FCGR2B		RNA	FCGR2B	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0562	mAOC-CD332	Antibody Capture	FGFR2	reference:对应基因名	mAOC-CD332	抗体信息对照表260611-FY.xlsx	gene	FGFR2		RNA	FGFR2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0564	mAOC-CD338	Antibody Capture	ABCG2	reference:对应基因名	mAOC-CD338	抗体信息对照表260611-FY.xlsx	gene	ABCG2		RNA	ABCG2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0567	mAOC-CD20	Antibody Capture	MS4A1	reference:对应基因名	mAOC-CD20	抗体信息对照表260611-FY.xlsx	gene	MS4A1		RNA	MS4A1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0569	mAOC-FZD5	Antibody Capture	FZD5	reference:对应基因名	mAOC-FZD5	抗体信息对照表260611-FY.xlsx	gene	FZD5		RNA	FZD5	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0570	mAOC-GLP1R	Antibody Capture	GLP1R	reference:对应基因名	mAOC-GLP1R	抗体信息对照表260611-FY.xlsx	gene	GLP1R		RNA	GLP1R	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0576	mAOC-SIGLEC15	Antibody Capture	SIGLEC15	reference:对应基因名	mAOC-SIGLEC15	抗体信息对照表260611-FY.xlsx	gene	SIGLEC15		RNA	SIGLEC15	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0580	mAOC-CD202b	Antibody Capture	TEK	reference:对应基因名	mAOC-CD202b	抗体信息对照表260611-FY.xlsx	gene	TEK		RNA	TEK	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0581	mAOC-CD154	Antibody Capture	CD40LG	reference:对应基因名	mAOC-CD154-2	抗体信息对照表260611-FY.xlsx	gene	CD40LG		RNA	CD40LG	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0582	mAOC-CD46	Antibody Capture	CD46	reference:对应基因名	mAOC-CD46	抗体信息对照表260611-FY.xlsx	gene	CD46		RNA	CD46	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0583	mAOC-CD74	Antibody Capture	CD74	reference:对应基因名	mAOC-CD74	抗体信息对照表260611-FY.xlsx	gene	CD74		RNA	CD74	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0584	mAOC-CD116	Antibody Capture	CSF2RA	reference:对应基因名	mAOC-CD116	抗体信息对照表260611-FY.xlsx	gene	CSF2RA		RNA	CSF2RA	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0585	mAOC-FCER1A	Antibody Capture	FCER1A	reference:对应基因名	mAOC-FCER1A	抗体信息对照表260611-FY.xlsx	gene	FCER1A		RNA	FCER1A	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0586	mAOC-CD50	Antibody Capture	ICAM3	reference:对应基因名	mAOC-CD50	抗体信息对照表260611-FY.xlsx	gene	ICAM3		RNA	ICAM3	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0587	mAOC-CD210b	Antibody Capture	IL10RB	reference:对应基因名	mAOC-CD210b	抗体信息对照表260611-FY.xlsx	gene	IL10RB		RNA	IL10RB	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0588	mAOC-CD218a	Antibody Capture	IL18R1	reference:对应基因名	mAOC-CD218a	抗体信息对照表260611-FY.xlsx	gene	IL18R1		RNA	IL18R1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0589	mAOC-IL1RAP	Antibody Capture	IL1RAP	reference:对应基因名	mAOC-IL1RAP	抗体信息对照表260611-FY.xlsx	gene	IL1RAP		RNA	IL1RAP	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0590	mAOC-CD360	Antibody Capture	IL21R	reference:对应基因名	mAOC-CD360	抗体信息对照表260611-FY.xlsx	gene	IL21R		RNA	IL21R	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0591	mAOC-CD85f	Antibody Capture	LILRA5	reference:对应基因名	mAOC-CD85f	抗体信息对照表260611-FY.xlsx	gene	LILRA5		RNA	LILRA5	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0592	mAOC-CD85a	Antibody Capture	LILRB3	reference:对应基因名	mAOC-CD85a	抗体信息对照表260611-FY.xlsx	gene	LILRB3		RNA	LILRB3	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0593	mAOC-CD6	Antibody Capture	CD6	reference:对应基因名	mAOC-CD6	抗体信息对照表260611-FY.xlsx	gene	CD6		RNA	CD6	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0598	mAOC-CD89	Antibody Capture	FCAR	reference:对应基因名	mAOC-CD89	抗体信息对照表260611-FY.xlsx	gene	FCAR		RNA	FCAR	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0599	mAOC-CD23	Antibody Capture	FCER2	reference:对应基因名	mAOC-CD23	抗体信息对照表260611-FY.xlsx	gene	FCER2		RNA	FCER2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0600	mAOC-CD316	Antibody Capture	IGSF8	reference:对应基因名	mAOC-CD316	抗体信息对照表260611-FY.xlsx	gene	IGSF8		RNA	IGSF8	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0601	mAOC-CD126	Antibody Capture	IL6R	reference:对应基因名	mAOC-CD126	抗体信息对照表260611-FY.xlsx	gene	IL6R		RNA	IL6R	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0602	mAOC-CD132	Antibody Capture	IL2RG	reference:对应基因名	mAOC-CD132	抗体信息对照表260611-FY.xlsx	gene	IL2RG		RNA	IL2RG	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0603	mAOC-CD130	Antibody Capture	IL6ST	reference:对应基因名	mAOC-CD130	抗体信息对照表260611-FY.xlsx	gene	IL6ST		RNA	IL6ST	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0604	mAOC-CD127	Antibody Capture	IL7R	reference:对应基因名	mAOC-CD127	抗体信息对照表260611-FY.xlsx	gene	IL7R		RNA	IL7R	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0605	mAOC-CD158k	Antibody Capture	KIR3DL2	reference:对应基因名	mAOC-CD158k	抗体信息对照表260611-FY.xlsx	gene	KIR3DL2		RNA	KIR3DL2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0606	mAOC-CD98	Antibody Capture	SLC3A2	reference:对应基因名	mAOC-CD98	抗体信息对照表260611-FY.xlsx	gene	SLC3A2		RNA	SLC3A2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0607	mAOC-TGFBR2	Antibody Capture	TGFBR2	reference:对应基因名	mAOC-TGFBR2	抗体信息对照表260611-FY.xlsx	gene	TGFBR2		RNA	TGFBR2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0608	mAOC-CDH8	Antibody Capture	CDH8	reference:对应基因名	mAOC-CDH8	抗体信息对照表260611-FY.xlsx	gene	CDH8		RNA	CDH8	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0610	mAOC-CD334	Antibody Capture	FGFR4	reference:对应基因名	mAOC-CD334	抗体信息对照表260611-FY.xlsx	gene	FGFR4		RNA	FGFR4	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0611	mAOC-CD166	Antibody Capture	ALCAM	reference:对应基因名	mAOC-CD166	抗体信息对照表260611-FY.xlsx	gene	ALCAM		RNA	ALCAM	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0613	mAOC-CD66a	Antibody Capture	CEACAM1	reference:对应基因名	mAOC-CD66a	抗体信息对照表260611-FY.xlsx	gene	CEACAM1		RNA	CEACAM1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0614	mAOC-F2	Antibody Capture	F2	reference:对应基因名	mAOC-F2	抗体信息对照表260611-FY.xlsx	gene	F2		RNA	F2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0615	mAOC-SIGIRR	Antibody Capture	SIGIRR	reference:对应基因名	mAOC-SIGIRR	抗体信息对照表260611-FY.xlsx	gene	SIGIRR		RNA	SIGIRR	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0616	mAOC-CTSS	Antibody Capture	CTSS	reference:对应基因名	mAOC-CTSS	抗体信息对照表260611-FY.xlsx	gene	CTSS		RNA	CTSS	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0617	mAOC-CSF3	Antibody Capture	CSF3	reference:对应基因名	mAOC-CSF3	抗体信息对照表260611-FY.xlsx	gene	CSF3		RNA	CSF3	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0618	mAOC-SORT1	Antibody Capture	SORT1	reference:对应基因名	mAOC-SORT1	抗体信息对照表260611-FY.xlsx	gene	SORT1		RNA	SORT1	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0619	mAOC-ROR2	Antibody Capture	ROR2	reference:对应基因名	mAOC-ROR2	抗体信息对照表260611-FY.xlsx	gene	ROR2		RNA	ROR2	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0629	mAOC-TSPAN8	Antibody Capture	TSPAN8	reference:对应基因名	mAOC-TSPAN8	抗体信息对照表260611-FY.xlsx	gene	TSPAN8		RNA	TSPAN8	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC0630	mAOC-CD84	Antibody Capture	CD84	reference:对应基因名	mAOC-CD84	抗体信息对照表260611-FY.xlsx	gene	CD84		RNA	CD84	map:id_left_join	0.95	genesymbol found by FB_ref.id to mAOC_gene_symbol_map.id left join	FALSE	FALSE
mAOC363	mAOC-CD47	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC365	mAOC-CD29	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC366	mAOC-CD244	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC373	mAOC-CD81	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC374	mAOC-CD32	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC375	mAOC-CD162	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC376	mAOC-CD357	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC377	mAOC-CD326	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC378	mAOC-TGFBI	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC379	mAOC-CD68	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC381	mAOC-CD102	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC382	mAOC-TIGIT	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC383	mAOC-CD146	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC384	mAOC-CD158b2	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC386	mAOC-CD85j	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC387	mAOC-CD119	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC388	mAOC-CD305	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC391	mAOC-CD304	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC392	mAOC-CD352	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC411	mAOC-CD122	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC413	mAOC-CD116	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC415	mAOC-CD158b1	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC416	mAOC-CD278	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC417	mAOC-CD18	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC419	mAOC-CD11a	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC421	mAOC-CD37	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC422	mAOC-CD26	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC423	mAOC-CD39	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
mAOC426	mAOC-CD172a	Antibody Capture					ambiguous			manual		unresolved	0.00	No map hit or rule-based target assignment	TRUE	TRUE
